Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,RT @danroan: Exclusive: Wada secretly suggested compromise to Russians in June to bring end to anti-doping agency ban https://t.co/StEMkc93…,Sat Sep 15 10:37:37 +0000 2018,-0.4767,0.068,0.769,0.163,31
@BBCWorld,RT @BBCNews: ICESat: Space laser to get unprecedented view of Earth's ice 🌎https://t.co/tg27lOT9Yt,Sat Sep 15 10:20:36 +0000 2018,0.0,0.0,1.0,0.0,32
@BBCWorld,Pope Francis pays homage to Sicilian anti-mafia priest https://t.co/kh188n0m5j,Sat Sep 15 10:16:51 +0000 2018,0.0,0.0,1.0,0.0,33
@BBCWorld,RT @bbcworldservice: Could this be what the world's oldest drawing looks like? https://t.co/wgIvXp4lt8,Sat Sep 15 10:16:16 +0000 2018,0.3612,0.172,0.828,0.0,34
@BBCWorld,RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,Sat Sep 15 10:04:50 +0000 2018,0.4404,0.209,0.791,0.0,35
@BBCWorld,"The world's strongest storm this year, Super #Typhoon Mangkhut, hits the Philippines

https://t.co/KSPr5Y289c https://t.co/Ti8e5O0S5Z",Sat Sep 15 10:04:06 +0000 2018,0.7783,0.362,0.638,0.0,36
@BBCWorld,RT @danroan: Revealed: how WADA’s leadership quietly compromised &amp; changed the roadmap for Russian re-compliance back in June. Letter purpo…,Sat Sep 15 09:57:25 +0000 2018,0.0,0.0,1.0,0.0,37
@BBCWorld,"RT @bbcweather: Even though Florence has been downgraded to a tropical storm, it is still forecast to bring another 15-20 inches of rain ov…",Sat Sep 15 09:47:39 +0000 2018,0.0,0.0,1.0,0.0,38
@BBCWorld,Victoire Ingabire: Rwanda to free jailed opposition leader https://t.co/JAwAfwB28x,Sat Sep 15 09:25:34 +0000 2018,0.0258,0.244,0.519,0.237,39
@BBCWorld,"Storm #Florence: Warnings of 'catastrophic' flash flooding

https://t.co/Da1ccSxFU0 https://t.co/fTW2nXZYAc",Sat Sep 15 09:22:32 +0000 2018,-0.296,0.0,0.784,0.216,40
@BBCWorld,In pictures: Hurricane #Florence strikes the eastern US https://t.co/zdLMOstnBy,Sat Sep 15 09:04:10 +0000 2018,-0.3612,0.0,0.762,0.238,41
@BBCWorld,".@ArianaGrande pays tribute after death of ex-boyfriend @MacMiller, calling him her ""dearest friend"" and the ""kinde… https://t.co/QR8ymbR8Bz",Sat Sep 15 09:01:08 +0000 2018,0.4404,0.275,0.567,0.158,42
@BBCWorld,"First deaths confirmed after #TyphoonMangkhut battered the Philippines

https://t.co/7grTlnQcf8 https://t.co/x8zedU7waB",Sat Sep 15 08:45:02 +0000 2018,0.0,0.0,1.0,0.0,43
@BBCWorld,Prickly cactus species 'under threat' https://t.co/9Pwyy15e3m,Sat Sep 15 08:37:02 +0000 2018,-0.6486,0.0,0.43,0.57,44
@BBCWorld,"RT @BBCSport: Claims made by Moeen Ali that an Australian player called him 'Osama' during the 2015 Ashes are being investigated. 

Read: h…",Sat Sep 15 08:26:36 +0000 2018,0.0,0.0,1.0,0.0,45
@BBCWorld,"RT @bbcweather: Q: What's the difference between a hurricane, typhoon and cyclone? 
(Clue: You may need an atlas.)
https://t.co/ll8x5zDlbt",Sat Sep 15 08:22:54 +0000 2018,0.0,0.0,1.0,0.0,46
@BBCWorld,Why Uganda is the 'world's fittest country' https://t.co/wss54qobcP,Sat Sep 15 08:21:27 +0000 2018,0.0,0.0,1.0,0.0,47
@BBCWorld,"'It's Prince, thinking aloud on the piano' https://t.co/e8cstyt3NY",Sat Sep 15 08:19:39 +0000 2018,0.0,0.0,1.0,0.0,48
